CITIZENSHIP	GENDER	Race	DEGREE	INST1	INST1_MAJOR	O_INST1_GPA	O_GRE_V	O_GRE_Q	O_TOEFL_SCORE	PERM_CITY	PERM_STATE	PERM_ZIP
US	F	W	Dcal	ValeciaCmmuiyCllege	GeealSudies	2.9	380	520	0	Olad	FL	32822
US	F	W	Mase	HuigdCllege	Bilgy	0	510	610	0	Wilme	AL	36587
US	F	O	Mase	BeijigUivesiyfPhysicalEducai	Bimechaics	3.2	310	690	227	Jacksville	AL	36265
US	F	W	Mase	KeSaeUivesiy	Psychlgy	2.9	450	410	0	Bedfd	OH	44146
0	M	W	Dcal	SaeUivesiyfNewYkaClad	Psychlgy	3.2	470	630	0	0	0	0
0	F	W	Dcal	FlidaSaeUivesiy	Psychlgy	3.8	780	710	0	Alaa	GA	30306
0	M	W	Dcal	SamfdUivesiy	Psychlgy	3.7	540	730	0	Hve	AL	35242
0	F	H	Dcal	UivesiyfGegia	PsychlgyadSpaish	3.3	390	610	0	Maiez	GA	30907
0	M	W	Dcal	LeeUivesiy	Psychlgy	3.8	540	570	0	0	0	0
0	F	O	Dcal	ClumbiaUivesiy,BaadCllege	Psychlgy	3.2	550	690	0	0	0	0
0	F	W	Dcal	ChisiaBhesUiv.	Psy	3.9	530	670	0	0	0	0
0	F	W	Dcal	GaUivesiy	Psy	3.8	600	500	0	0	0	0
0	M	W	Dcal	ClemsUvesiy	Psy	3.9	740	640	0	Saye	PA	18840
0	M	W	Dcal	EasTeesseeSaeU.	CliicalPsychlgy	0	620	610	0	Elizabeh,	TN	37643
0	F	W	Dcal	EasTeesseeSaeUivesiy	CliicalPsychlgy	3.9	560	660	0	Kigsp	TN	37664
0	F	W	Dcal	OklahmaSaeUivesiy	Psychlgy	3.7	500	710	0	Muskgee	OK	74403
0	F	W	Dcal	GuilfdCllege	Psy	3.5	560	620	0	Geesb	NC	27455
0	M	W	Dcal	AlamaSaeUivesiy	Psychlgy	3.9	490	600	0	Mgmey	AL	36117
0	F	W	Dcal	SzczeciUivesiy	PlishSudies/Teachig	3.9	570	620	0	APO	AE	9889
0	F	W	Dcal	UivesiyfMississippi	Psychlgy	3.5	400	510	0	Bad	MS	39047
0	F	W	Dcal	UivesiyfNhCalia	Psychlgy	0	630	730	0	WisSalem	NC	27104
0	F	W	Dcal	UivesiyfCalifia,LsAgeles	Geeal	3.3	470	710	0	HuigBeach	CA	92648
0	M	W	Dcal	AppalachiaSaeUivesiy	CliicalPsy	3.5	350	620	0	Be	NC	28607
US	F	W	Dcal	UivesiyfCecicu	Psychlgy	3.5	370	440	0	Nwalk	CT	6855
0	M	W	Dcal	UahSaeUivesiy	Psychlgy	3.6	630	560	0	Richfield	UT	84701
US	M	W	Dcal	UivesiyfSuhAlama	AppliedPsychlgy	3.9	480	580	0	Mbile	AL	36606
US	M	W	Dcal	UivesiyfKasas	HumaBilgy	3.4	520	570	0	Hays	KS	67601
US	F	W	Dcal	FlidaSaeUivesiy	Psychlgy	3.9	460	540	0	GulfBeeze	FL	32561
US	F	W	Dcal	NheKeuckyUivesiy	Udeclaed	3.3	530	580	0	Lexig	KY	40517
US	F	H	Dcal	ClaemMcKeaCllege	PsychlgyadBilgy	3.7	540	750	0	Buk	CA	91504
US	F	W	Dcal	UivesiyfAlamaaBimigham	psychlgy	3.4	460	460	0	Hve	AL	35244
US	M	O	Dcal	CChapelHill	Psychlgy	3.4	550	570	0	Chale	NC	28277
US	M	W	Dcal	S.OlafCllege	Psy	3.6	560	670	0	Midlhia	VA	23112
US	F	I	Dcal	SuheAdveisUivesiy	Psychlgy	3.8	490	540	0	Cllegedale	TN	37315
US	F	W	Dcal	LycmigCllege	PsychlgyadEglish	3.8	600	780	0	Behlehem	PA	18020
US	M	W	Dcal	UivesiyfSuhAlama	Psychlgy	3.3	470	580	0	Mbile	AL	36605
US	F	O	Dcal	UivesiyfFlida	Psychlgy	3.6	460	500	0	SuhVeice	FL	34293
US	F	W	Dcal	EaseMichigaUivesiy	Psychlgy	3.6	500	440	0	Tled	OH	43606
US	F	W	Dcal	UivesiyfSuhAlama	Psychlgy	3.3	490	510	0	Mbile	AL	36609
US	F	W	Dcal	EasCealCllege	Psychlgy	2.1	430	530	0	Clumbia	MO	65202
US	F	W	Dcal	UivesiyfMemphis	Psychlgy	3.6	510	380	0	Bale	TN	38134
US	M	B	Dcal	RhdesCllege	PsychlgyadPhilsphy	2.5	470	600	0	Alaa	GA	30331
US	F	W	Dcal	IwaSaeUivesiy	Psychlgy	3.9	430	690	0	Kigsley	IA	51028
US	M	W	Dcal	EasCaliaUivesiy	CliicalPsychlgy	3.9	620	720	0	Geeville	NC	27834
US	F	I	Dcal	KeesawSaeUivesiy	Psychlgy	3.4	520	430	0	Dallas	GA	30157
US	F	B	Dcal	LuisiaaSaeUivesiy	Psychlgy	3.2	450	590	0	Plaquemie	LA	70764
US	F	W	Dcal	UivesiyfFlida	psychlgy	3	600	690	0	Olad	FL	32819
0	F	W	Dcal	CWILMINGTON	PSYCHOLOGY	0	550	600	0	0	0	0
0	F	B	Dcal	SPELMANCOLLEGE	PSYCHOLOGY	0	470	560	0	0	0	0
0	F	W	Dcal	SOUTHERNMETHODISTIVERSITY	PSYCHOLOGY	0	650	610	0	0	0	0
0	F	W	Dcal	SaJseSaeUivesiy	Psychlgy	3.6	490	480	0	0	0	0
0	F	W	Dcal	EaseMichigaUivesiy	Psychlgy	4	600	610	0	0	0	0
0	F	W	Dcal	Uiv.fNebaska	Psychlgy	3.9	540	560	0	0	0	0
0	F	W	Dcal	MichigaSaeUivesiy	PeLawCgaeiPsy	3.7	420	510	0	0	0	0
0	F	W	Dcal	UivesiyfFlida	Psychlgy	3	570	560	0	0	0	0
0	F	W	Dcal	SuheMehdisUivesiy	Psychlgy	3.4	370	560	0	0	0	0
